CaseID,B3,ND2,ppethm,ppeduc5,GH1,B7_a,weight_pop,worse_off
748,2,3,1,2,2,3,16258.6986,1
749,2,3,1,2,1,3,10912.2983,1
750,2,3,2,3,3,3,14379.058,1
751,2,3,1,3,1,2,20089.3827,1
752,3,2,1,4,3,2,22761.0793,0
753,2,3,1,5,1,2,21793.3678,1
754,1,3,1,2,2,2,29390.9838,1
755,3,2,1,5,1,3,33001.1091,0
756,1,3,1,4,1,1,19172.3238,1
757,3,3,4,5,2,2,13183.911,0
758,3,3,1,4,1,1,15092.0511,0
759,3,2,1,5,1,3,15882.4633,0
760,3,3,1,2,1,2,43767.0695,0
761,2,3,1,2,2,2,26275.2794,1
762,5,3,1,5,1,3,12517.6437,0
763,4,3,1,3,2,4,18393.4481,0
764,2,3,1,2,3,1,20273.4104,1
765,2,2,4,3,1,2,22901.1733,1
766,1,3,1,4,1,2,8441.2201,1
767,2,3,1,2,1,2,16098.9296,1
768,3,3,4,3,1,2,13303.576,0
769,2,3,1,5,2,3,20174.8978,1
770,4,3,1,2,2,3,16258.6986,0
771,1,2,1,3,4,2,15529.7006,1
772,2,2,1,1,2,1,28561.408,1
773,3,3,3,3,1,3,38232.2535,0
774,2,3,1,2,2,3,11057.2898,1
775,3,2,1,2,1,4,16639.2413,0
776,3,2,1,4,1,3,25685.9139,0
777,3,2,4,3,2,3,17385.9704,0
778,2,3,1,3,1,1,13294.827,1
779,1,3,1,1,1,2,22513.3702,1
780,3,3,2,3,1,3,17337.6567,0
781,3,3,1,5,1,2,21579.2115,0
782,3,2,2,2,1,3,26790.2868,0
783,3,3,1,4,1,3,16302.7652,0
784,2,3,1,3,1,2,14305.0933,1
785,1,3,1,2,2,1,15051.257,1
786,2,2,2,5,1,2,16899.1825,1
787,2,1,4,2,2,3,51771.4869,1
788,3,1,4,2,3,1,48089.8845,0
789,2,3,1,3,2,1,15564.4765,1
790,2,3,1,2,2,2,17339.9346,1
791,3,3,1,3,1,2,24037.7432,0
792,2,3,1,2,2,2,17704.7623,1
793,3,3,5,2,2,4,15751.3175,0
794,3,5,1,2,2,3,16860.3265,0
795,3,3,1,4,1,3,14001.9772,0
796,3,2,1,5,2,2,11421.6997,0
797,2,2,1,3,2,3,16524.1704,1
798,4,3,1,3,2,2,12953.5659,0
799,3,3,1,4,1,3,21304.4017,0
800,2,3,1,4,1,2,19677.1448,1
801,4,3,1,4,1,3,8349.6505,0
802,2,3,1,5,1,2,15346.3465,1
803,3,3,1,3,1,2,28438.1383,0
804,2,3,1,2,1,3,15483.2334,1
805,3,2,1,4,1,3,10870.7987,0
806,2,3,1,4,2,2,14052.8508,1
807,4,2,1,4,1,3,19483.7839,0
808,2,2,1,3,2,2,20383.6347,1
809,5,2,1,4,1,3,13090.7683,0
810,2,1,1,4,3,2,17147.0524,1
811,3,3,1,4,2,3,10151.1496,0
812,4,3,1,4,4,3,12641.8712,0
813,2,3,1,2,1,1,16258.6986,1
814,3,3,1,2,2,3,24619.3862,0
815,3,3,4,3,3,2,15555.9643,0
816,2,3,1,2,1,3,26275.2794,1
817,3,3,1,2,4,3,17477.1008,0
818,3,2,1,4,1,3,20174.8978,0
819,4,4,2,3,1,3,19379.5885,0
820,3,3,1,5,2,1,14001.9772,0
821,4,2,2,4,1,2,19799.3672,0
822,2,3,1,4,2,2,9019.476000000001,1
823,3,4,4,2,2,3,39421.2783,0
824,2,1,1,1,3,2,22926.0308,1
825,4,2,1,5,2,2,14140.9356,0
826,3,2,1,3,2,1,13992.7265,0
827,2,3,1,3,1,1,19475.5771,1
828,3,3,1,5,2,3,27746.4885,0
829,3,5,1,3,3,2,15297.0137,0
830,3,3,1,2,3,2,14715.7153,0
831,3,3,2,4,3,2,23897.4806,0
832,3,2,1,4,3,2,19697.4601,0
833,3,3,1,4,1,3,14140.9356,0
834,3,2,1,2,4,3,22386.3929,0
835,1,3,1,3,2,2,20617.8134,1
